dates	Mean	Median	Upper	Lower
2019.300211	36.97898033	28.47209588	110.1887302	9.618560523
2019.382701	28.5020177	23.90149281	76.30984606	9.9547957
2019.465191	39.12610151	32.89471795	100.4302488	13.0267617
2019.547681	85.52645543	61.02963099	307.6348341	21.01677185
2019.630171	177.7565199	117.4639034	695.7370306	30.30701796
2019.712661	287.8231972	211.024783	1020.197576	41.16932023
2019.79515	406.0695302	311.2416312	1311.366629	59.20141076
2019.87764	533.7772548	406.0945262	1685.815002	87.66121034
2019.96013	675.9137522	500.2736352	2226.078368	148.9565716
2020.04262	828.1394796	598.9408161	2851.393349	197.7456485
2020.12511	982.8003535	690.346719	3542.5767	203.5166794
2020.2076	1137.486097	785.1888944	4217.569008	191.0284772
