Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963-CO,1.214,1.053,1.269,0.634,0.574,1.300,1.534,3.238,1.628,0.889,0.712,0.568
1964-CO,0.544,1.107,1.483,1.599,1.588,0.957,1.612,1.970,1.352,0.116,1.826,1.921
1965-CO,1.208,1.116,1.655,1.691,1.801,2.989,3.194,2.396,2.613,1.306,1.168,1.856
1966-CO,0.573,0.871,0.350,1.046,0.952,1.318,2.217,2.106,1.211,0.898,0.693,1.903
1967-CO,0.814,0.757,0.744,1.047,2.312,2.434,2.730,2.735,1.293,0.667,0.538,2.638
1968-CO,0.526,1.238,0.893,1.698,1.434,0.492,3.099,2.750,0.614,0.692,1.062,1.065
1969-CO,1.631,0.999,1.088,1.083,2.073,3.276,2.464,2.141,1.898,3.830,0.657,1.038
1970-CO,0.560,0.288,2.103,1.431,0.729,1.605,1.927,1.957,2.517,1.915,1.117,0.633
1971-CO,0.767,1.161,0.625,1.600,1.871,0.485,2.189,1.831,1.767,1.798,1.177,1.443
1972-CO,0.631,0.326,0.762,0.812,1.182,1.591,1.384,1.820,1.597,3.200,1.895,1.802
1973-CO,0.718,0.417,2.371,1.783,2.220,1.124,2.487,1.266,1.645,0.691,0.912,1.455
1974-CO,1.959,0.530,1.398,1.168,0.367,1.213,2.006,1.174,0.777,1.817,1.001,1.163
1975-CO,1.377,1.263,2.221,1.582,1.684,1.250,2.137,1.203,1.081,0.738,1.753,0.526
1976-CO,0.517,1.327,1.128,1.700,1.853,0.787,1.686,2.044,2.221,0.757,0.380,0.162
1977-CO,0.646,0.712,0.758,1.901,1.509,0.886,2.914,2.336,0.988,0.659,1.477,0.839
1978-CO,1.426,0.971,1.606,1.284,2.780,1.340,1.263,1.250,0.527,1.187,2.037,2.419
1979-CO,2.144,0.794,2.390,1.021,2.715,1.576,1.549,2.247,0.528,1.118,1.387,1.012
1980-CO,2.299,1.753,2.016,2.398,2.739,0.393,1.236,1.504,1.055,0.938,0.660,0.404
1981-CO,0.319,0.469,2.322,0.800,2.865,1.256,2.887,2.498,1.205,1.888,0.853,1.278
1982-CO,1.350,0.897,1.632,0.824,2.299,1.560,2.020,2.684,2.752,0.946,1.326,1.177
1983-CO,0.588,1.046,2.659,1.859,2.420,2.192,1.680,2.045,0.754,0.712,2.367,2.563
1984-CO,0.634,0.935,1.975,2.215,1.106,1.864,2.175,2.853,1.036,3.212,0.611,1.637
