Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997-FL,43.824,48.271,56.647,53.047,61.446999999999996,67.712,71.343,70.41199999999999,67.923,58.158,47.358999999999995,43.75
1998-FL,45.093,45.215,47.023999999999994,55.423,64.612,71.377,73.444,72.012,71.578,61.736999999999995,56.226000000000006,49.57899999999999
1999-FL,42.857,46.113,44.978,58.711999999999996,61.034,69.17699999999999,71.822,72.899,66.72399999999999,59.771,49.328,41.683
2000-FL,41.412,42.857,51.123999999999995,51.223,63.287,68.12100000000001,70.953,70.71,68.87,54.658,46.856,38.292
2001-FL,35.179,49.38,49.31399999999999,54.288000000000004,60.244,68.877,71.788,71.067,66.258,56.049,52.636,48.794
2002-FL,43.358000000000004,42.172,49.305,61.001000000000005,62.466,69.444,71.14399999999999,70.5,71.367,64.41199999999999,46.726000000000006,40.18
2003-FL,34.68,43.98,55.891999999999996,54.7,65.455,70.155,71.39,71.97800000000001,67.524,59.781000000000006,53.148999999999994,38.025999999999996
2004-FL,39.358000000000004,43.726000000000006,49.757,51.035,63.123000000000005,70.312,71.556,71.747,70.492,62.522,52.757,41.358000000000004
2005-FL,45.43600000000001,46.122,48.047,51.135,60.812,70.923,73.6,73.745,70.03399999999999,60.216,51.303999999999995,39.902
2006-FL,45.157,41.758,47.733999999999995,58.056000000000004,61.978,68.434,70.899,72.866,67.714,56.047,47.527,48.229
2007-FL,45.893,40.971000000000004,49.669,52.266999999999996,60.4,68.766,72.03399999999999,73.51,69.82300000000001,64.506,47.227,48.07
2008-FL,42.35,44.361000000000004,47.581,54.823,63.056000000000004,69.333,71.444,72.19,68.245,56.87,45.048,45.867
2009-FL,40.99,39.013000000000005,49.711999999999996,54.635,65.021,71.52199999999999,71.423,71.869,70.112,62.501999999999995,50.496,45.528
2010-FL,36.358000000000004,36.959,44.302,54.045,66.556,71.555,73.46600000000001,74.744,68.90100000000001,54.98,47.136,32.613
2011-FL,37.236999999999995,46.162,50.823,56.345,60.891000000000005,70.153,72.41,73.067,67.392,54.883,50.327,47.071000000000005
2012-FL,42.61,49.568999999999996,56.133,56.611999999999995,64.578,68.85600000000001,72.3,71.99,68.58,60.106,45.926,46.37
2013-FL,48.769,45.602,42.49,56.013000000000005,60.513000000000005,71.11,71.756,72.501,69.545,60.402,51.718,48.605
2014-FL,37.028,46.215,47.226000000000006,56.747,62.823,69.788,71.37899999999999,72.267,69.834,57.292,43.272,47.148
