HHS_region,year,Mean-Temp-F,Mean-Precip-Inches,Mean-Palmer-Drought-Index,Mean-Tmax,Mean-Tmin,Mean-HDD,Mean-CDD
region10,2003,41.57263053333333,32.37050276666667,-2.1877793833333334,50.75247830000001,32.39085896666666,709.7965086666667,1.8720584486666667
region10,2004,41.6519216,31.658302000000003,-2.3618278133333335,51.04594803333333,32.25818826666667,708.6318363333334,3.0880338333333337
region10,2005,41.356811533333335,27.39057796666667,-1.28543389,50.508815766666665,32.2003479,715.7308146666668,0.909725071
region10,2006,40.05753453333333,38.96850013333333,0.716160753,49.06041973333333,31.045269,754.6664226666667,0.8929667466666666
region10,2007,40.775561,36.59041976666666,-0.56667309,50.3272438,31.2191334,735.271505,1.8614668853333332
region10,2008,38.476039899999996,33.4759407,-1.1567587266666666,47.55604806666667,29.3971952,804.3875119999999,1.1477626166666666
region10,2009,39.9400851,29.3163007,-1.2293038763333333,49.39896646666667,30.482554766666667,760.4633786666667,1.9230917319999998
region10,2010,40.63002903333334,32.901823033333336,-0.5891315743333333,49.7020747,31.55807366666666,742.2503456666667,4.059137661333334
region10,2011,39.455321,41.948136,2.2538860633333333,47.87934366666667,31.0247364,773.3348793333333,1.7813211196666667
region10,2012,40.8967387,34.86862023333333,-0.024546277000000005,50.314535766666665,31.47469203333333,733.8700563333333,4.72666303
region10,2013,40.718262966666664,32.99411393333333,-0.5082305066666667,49.95342253333333,31.480159099999998,738.4665526666668,3.545470953
region10,2014,40.57567343333333,33.70324323333333,-1.24615237,49.6660029,31.491827,740.8920493333334,2.285671116
region10,2015,43.81965636666666,32.6854528,-1.2625201533333332,53.259900433333335,34.36493556666667,644.419047,3.3811418233333335
region10,2016,42.50293223333333,40.6728115,-1.036204735,51.49120586666667,33.51557666666667,683.2398476666667,2.080608406666667
region10,2017,39.65567523333333,46.15001933333334,1.3839830966666666,47.94331613333333,31.3656699,768.5622353333333,1.09199182
region10,2018,40.8491262,36.3283666,-0.30852272000000003,49.739953333333325,31.947126366666666,732.4153036666667,2.5107711933333334
region10,2019,40.061368333333334,31.077874499999997,-1.766135254,49.18010710000001,30.937699,754.0972496666667,1.458270979
region10,2020,40.43153506666667,30.956608766666665,-1.0422641053333332,49.474456800000006,31.378154733333332,744.5928749999999,1.198087683
region2,1949,41.925987250000006,27.9069767,0.406749716,51.90117455,31.926119800000002,703.766174,5.71470034
region2,1950,39.6280613,24.053702350000002,-2.04033935,49.52166555,29.716850299999997,768.727814,3.8513252145
region2,1951,40.056718849999996,29.3424416,0.685506313,49.43863675,30.6728096,756.1842345,2.3882253045
region2,1952,40.22774125,32.8081579,1.340850115,49.8216095,30.63722895,753.9593505,5.3768820150000005
region2,1953,41.06467245,30.5408764,1.4106104065,50.48852155,31.64182755,729.2740475,5.570137620000001
region2,1954,41.318956400000005,24.77192405,-1.4020408949999998,51.9013138,30.73631095,724.0233765,6.964025749999999
region2,1955,39.76284985,27.096234350000003,-0.36949831,49.1423092,30.4112415,768.560028,6.091513405
region2,1956,37.905813249999994,27.4793587,0.5233819630000001,47.1466942,28.64742755,825.0898745,5.052832065
region2,1957,40.047014250000004,24.51845835,-0.6031450865000001,49.8193951,30.2772694,757.6317445,2.8487756235
region2,1958,39.5174217,31.938879,-0.4082627,48.58676145,30.445873249999998,775.3667605,7.33036326
region2,1959,37.878196700000004,25.218607900000002,0.241451517,47.983310700000004,27.746798499999997,824.295929,4.21328771
region2,1960,40.088811899999996,28.8717089,0.684584692,49.33483885,30.8390026,765.2745055,11.342244610000002
region2,1961,37.900436400000004,28.1562042,0.12060713949999996,47.80636785,27.992483149999998,825.988953,5.711544035
region2,1962,40.0316715,24.06128595,-1.1078134179999999,49.7010956,30.35823155,771.0555420000001,17.4805183
region2,1963,36.87898255,23.4053297,-0.953025875,46.8718605,26.9068184,850.046173,1.8772002465000002
region2,1964,38.9982662,26.113082900000002,-2.172962305,49.13518905,28.862269400000002,787.3468325,2.20375031
region2,1965,38.145650849999996,20.74185945,-3.63132608,48.30689045,27.98013305,816.8945925,5.10987532
region2,1966,38.8248806,20.95488735,-3.6933292150000003,48.17247775,29.481558800000002,797.373657,6.96880687
region2,1967,38.76101875,26.785711300000003,-0.30435919850000004,48.59147835,28.921921750000003,794.2999875,2.9508628835
region2,1968,38.20464895,22.91069605,-0.35022164899999997,48.34173775,28.075558649999998,811.234619,2.7951189249999997
region2,1969,39.103691100000006,24.6693745,-1.183761029,48.40372085,29.7946596,790.6232299999999,7.869494095
region2,1970,37.22717665,27.00408075,0.025597781000000014,46.78897285,27.66854955,845.898987,5.356818915000001
region2,1971,38.6700115,27.3099098,-0.248892106,47.9888172,29.3434887,805.9980774999999,9.403513555
region2,1972,39.8504219,28.84284785,1.14364821,49.14989855,30.556199999999997,769.812378,11.932650550000002
region2,1973,40.0098057,35.52048305,3.071548815,49.186674100000005,30.8077068,759.6575925,6.0774444249999995
region2,1974,40.59993935,29.14856435,0.856410861,50.5980339,30.61129475,743.1010739999999,7.186157345
region2,1975,39.1256161,28.16503045,1.109887241,48.502740900000006,29.73290635,786.075012,4.0556755945
