Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1960-TN,832.662,819.151,947.816,204.685,131.103,4.479,0,0,19.485,204.191,556.698,989.718
1961-TN,1032.226,570.644,460.991,381.933,150.96,14.835,0,0,19.336,268.689,478.349,800.11
1962-TN,944.834,554.637,655.699,353.096,19.488,5.141,0,0,39.951,194.626,588.108,951.098
1963-TN,1074.05,907.906,430.888,195.58,93.805,5.957,0,0,40.317,159.22,527.879,1124.649
1964-TN,900.147,836.511,564.338,186.268,65.278,0,0,0,33.678,340.247,437.355,749.059
1965-TN,828.007,758.586,691.864,170.699,42.26,7.381,0,0,20.096,292.363,464.255,756.527
1966-TN,1050.705,740.095,546.884,272.22,114.452,9.115,0,0,49.745,326.379,500.996,836.14
1967-TN,803.288,824.378,404.922,153.063,128.498,6.211,4.226,5.569,88.661,274.826,657.314,687.205
1968-TN,951.331,943.855,563.197,234.795,111.534,5.295,0,0,47.018,249.882,555.848,905.703
1969-TN,933.223,755.232,772.203,214.296,85.388,1.524,0,0,46.504,254.705,641.289,925.538
1970-TN,1109.816,788.382,597.683,200.822,70.495,8.453,0,0,7.537,205.906,590.318,705.142
1971-TN,913.824,770.611,685.456,276.931,149.168,0,0,0,14.165,120.263,544.122,560.171
1972-TN,775.989,755.21,560.205,233.74,107.387,20.755,0,0,14.783,286.84,597.003,718.748
1973-TN,909.664,768.287,362.176,309.618,150.293,0,0,0,11.411,163.082,432.901,796.775
1974-TN,620.555,682.374,395.148,258.577,74.434,26.238,0,0,73.942,324.556,529.723,795.143
1975-TN,746.238,631.732,626.348,305.614,50.467,5.141,0,0,63.698,209.087,482.118,802.751
1976-TN,1001.968,526.355,419.683,255.359,168.524,9.616,0,1.524,66.715,399.249,766.454,929.581
1977-TN,1303.941,777.559,434.252,170.615,54.193,4.38,0,0,16.369,335.542,460.203,869.004
1978-TN,1186.954,1002.958,621.298,209.348,107.514,4.226,0,0,10.179,303.208,396.837,789.856
1979-TN,1095.115,880.57,493.799,250.904,104.396,10.339,0,0,38.058,272.032,523.33,789.798
1980-TN,822.539,886.126,641.859,291.611,92.097,4.634,0,0,9.565,317.44,566.374,821.114
1981-TN,1034.755,718.007,636.399,135.691,144.251,0,0,0,60.045,291.368,505.987,906.995
1982-TN,1003.412,701.75,452.348,352.726,44.39,9.039,0,0,53.353,237.743,479.563,609.87
1983-TN,900.339,701.039,546.92,411.222,124.548,9.516,0,0,32.539,205.683,532.377,977.609
1984-TN,1016.471,644.294,610.587,291.726,139.913,0,0,0,56.921,106.735,597.936,547.135
1985-TN,1132.587,805.905,460.853,197.581,80.293,5.549,0,0,43.239,140.06,293.207,974.308
1986-TN,927.039,610.302,522.774,214.151,68.961,0,0,0,14.939,209.944,440.303,805.081
1987-TN,907.187,658.529,490.678,327.35,29.277,0,0,0,33.854,404.158,445.159,703.863
1988-TN,1010.286,768.898,529.138,262.054,114.726,4.38,0,0,30.159,416.915,487.249,805.474
1989-TN,709.779,741.297,442.371,286.139,149.438,7.791,0,0,37.599,247.131,523.544,1101.851
