HHS_region,season,mean_palmerdrought
region2,1961.0,-0.29078571428571426
region2,1962.0,-0.29478571428571426
region2,1963.0,-1.8717142857142857
region2,1964.0,-2.721857142857143
region2,1965.0,-2.9232857142857145
region2,1966.0,-1.5404285714285713
region2,1967.0,-1.4281428571428572
region2,1968.0,-0.8524285714285714
region2,1969.0,-0.05292857142857147
region2,1970.0,-0.8565714285714285
region2,1971.0,0.3204285714285714
region2,1972.0,1.6986428571428571
region2,1973.0,0.7382142857142856
region2,1974.0,1.9421428571428572
region2,1975.0,2.259357142857143
region2,1976.0,1.0227857142857144
region2,1977.0,1.9442857142857142
region2,1978.0,-0.06521428571428574
region2,1979.0,1.3740714285714284
region2,1980.0,0.08342857142857144
region2,1981.0,-0.37521428571428567
region2,1982.0,-1.6362142857142856
region2,1983.0,0.4562857142857143
