"date","time","RSVpos","fluApos","fluBpos","HHS_REGION"
2015.06301369863,4.06301369863013,91,248,18,"7"
2015.06301369863,4.06301369863013,337,413,46,"8"
2015.06301369863,4.06301369863013,221,1639,82,"9"
2015.06301369863,4.06301369863013,203,433,23,"10"
2015.08219178082,4.08219178082186,82,739,26,"1"
2015.08219178082,4.08219178082186,234,950,21,"2"
2015.08219178082,4.08219178082186,170,671,24,"3"
2015.08219178082,4.08219178082186,132,500,92,"4"
2015.08219178082,4.08219178082186,581,270,51,"5"
2015.08219178082,4.08219178082186,306,689,160,"6"
2015.08219178082,4.08219178082186,113,195,36,"7"
2015.08219178082,4.08219178082186,442,290,76,"8"
2015.08219178082,4.08219178082186,214,1643,98,"9"
2015.08219178082,4.08219178082186,211,328,22,"10"
2015.10136986301,4.10136986301359,64,634,22,"1"
2015.10136986301,4.10136986301359,212,775,41,"2"
2015.10136986301,4.10136986301359,149,491,36,"3"
2015.10136986301,4.10136986301359,137,429,123,"4"
2015.10136986301,4.10136986301359,603,212,61,"5"
2015.10136986301,4.10136986301359,263,408,185,"6"
2015.10136986301,4.10136986301359,128,93,30,"7"
2015.10136986301,4.10136986301359,503,269,108,"8"
2015.10136986301,4.10136986301359,236,1306,104,"9"
2015.10136986301,4.10136986301359,180,282,13,"10"
2015.12054794521,4.12054794520554,91,451,36,"1"
2015.12054794521,4.12054794520554,226,578,54,"2"
2015.12054794521,4.12054794520554,159,344,34,"3"
2015.12054794521,4.12054794520554,124,344,169,"4"
2015.12054794521,4.12054794520554,425,156,75,"5"
2015.12054794521,4.12054794520554,351,280,236,"6"
2015.12054794521,4.12054794520554,130,71,37,"7"
2015.12054794521,4.12054794520554,590,166,101,"8"
2015.12054794521,4.12054794520554,225,828,108,"9"
2015.12054794521,4.12054794520554,169,110,19,"10"
2015.1397260274,4.13972602739727,96,298,40,"1"
2015.1397260274,4.13972602739727,185,433,57,"2"
2015.1397260274,4.13972602739727,98,228,55,"3"
2015.1397260274,4.13972602739727,100,281,178,"4"
2015.1397260274,4.13972602739727,421,93,105,"5"
2015.1397260274,4.13972602739727,407,168,261,"6"
2015.1397260274,4.13972602739727,113,77,85,"7"
2015.1397260274,4.13972602739727,458,119,118,"8"
2015.1397260274,4.13972602739727,188,597,93,"9"
2015.1397260274,4.13972602739727,161,66,18,"10"
2015.15890410959,4.158904109589,93,238,43,"1"
2015.15890410959,4.158904109589,143,284,55,"2"
2015.15890410959,4.158904109589,101,154,45,"3"
2015.15890410959,4.158904109589,110,206,257,"4"
2015.15890410959,4.158904109589,456,88,151,"5"
2015.15890410959,4.158904109589,377,127,201,"6"
2015.15890410959,4.158904109589,119,44,76,"7"
