psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.99,-8161.7890300152,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
1,-8161.41533772247,2,"fluA",-8163.33606713281,-8161.41533772247,0.97,1
0,-6929.51318885519,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.01,-6931.39924974774,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.02,-6934.54737479375,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.03,-6938.97439740784,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.04,-6944.70042569868,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.05,-6951.73633164968,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.06,-6960.09127419617,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.07,-6969.76923235655,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.08,-6980.7698473715,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.09,-6993.08383368768,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.1,-7006.70441914922,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.11,-7021.61089286676,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.12,-7037.78581615282,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.13,-7055.20075216179,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.14,-7073.8209236974,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.15,-7093.61207615832,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.16,-7114.52933459126,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.17,-7136.52635823372,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.18,-7159.55127129669,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.19,-7183.54331996814,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.2,-7208.43965504997,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.21,-7234.17151157677,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.22,-7260.67098972347,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
