"psi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0.52,-17559.0584211677,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.53,-17562.943498961,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.54,-17566.8818156375,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.55,-17570.87396012,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.56,-17574.9199845801,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.57,-17579.0195759653,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.58,-17583.1728426331,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.59,-17587.379613202,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.6,-17591.6398297925,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.61,-17595.9534928777,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.62,-17600.3205234436,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.63,-17604.7408412283,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.64,-17609.2143819605,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.65,-17613.7410708224,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.66,-17618.3209450178,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.67,-17622.9539161845,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.68,-17627.6399537135,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.69,-17632.3789849418,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.7,-17637.1710414392,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.71,-17642.0160517075,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.72,-17646.9140392355,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.73,-17651.8649145349,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.74,-17656.8687089987,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.75,-17661.92542004,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.76,-17667.0350880907,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.77,-17672.1976485554,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.78,-17677.4131152388,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.79,-17682.681522434,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.8,-17688.0029240699,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.81,-17693.377322829,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.82,-17698.8048069653,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.83,-17704.2853407407,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.84,-17709.8190022106,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.85,-17715.405905674,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.86,-17721.0460864409,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.87,-17726.7396188108,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.88,-17732.4866624565,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.89,-17738.2872314507,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.9,-17744.1415042409,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.91,-17750.0495882509,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.92,-17756.0115357649,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.93,-17762.0276334175,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.94,-17768.0979993321,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.95,-17774.2228016253,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.96,-17780.402238453,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.97,-17786.6364946927,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.98,-17792.9257594932,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.99,-17799.2703636495,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
1,-17805.6704907562,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
