	GMRF Skyride: gisaid_BA_north_100901_190430_combined.log			
Time	Mean	Median	Upper	Lower
2012.3855722485775	53.73577152513888	50.793517568845964	87.73973730221299	29.62175106203822
2012.283087506019	44.63769301085997	41.86748600455129	74.95477489525982	24.602202092817233
2012.1806027634605	39.19101631368074	36.63151946254413	65.82873224314424	21.08329444324421
2012.078118020902	37.60345561345398	35.097021968185345	64.87840427882948	19.41814022302254
2011.9756332783434	39.836577940680804	37.124877682402285	68.47282059058008	20.583508704142282
2011.8731485357848	44.04730115916682	40.82200725228698	75.43975078521781	23.342503448597064
2011.7706637932263	50.89336404153504	47.84164434186074	87.56103863043379	27.605512117479016
2011.6681790506677	58.90261715271053	54.800548065734425	101.20498944589484	32.58514099190179
2011.5656943081092	62.643214684625974	58.262549276354974	110.28233765289829	33.8820479502694
2011.4632095655506	62.87573541338176	58.447561269357	112.16103809403884	33.001274358682046
