	GMRF Skyride: gisaid_ON1_north_100901_190430_combined2.log			
Time	Mean	Median	Upper	Lower
2014.0906093018784	52.44862136583721	49.722509724661485	94.5161061063106	27.72749520834402
2014.0049506235764	63.02908875640944	59.65567401044048	113.12955619238933	33.64406448082491
2013.9192919452744	67.66519566604647	63.92327043350661	121.4466476699834	36.18921614740207
2013.8336332669724	70.46563513349554	66.83318676573815	125.03515788595156	39.02512119267716
2013.7479745886703	65.8756965153876	62.178594382628965	116.35468139056262	36.43842751214148
2013.6623159103683	57.39425690418113	54.46498186907516	100.07744071984307	31.962537617903337
2013.5766572320663	47.04408176934064	44.210142388625094	83.1632996507706	25.200065497711755
2013.4909985537643	37.95918706753821	35.88829459987368	67.65391450117714	20.305188816777846
2013.4053398754622	29.61038685384189	27.94041029504338	52.433290153919884	16.065310091158313
2013.3196811971602	22.973118760953007	21.723769477767057	40.62352702575263	12.228365487392793
2013.2340225188582	18.71181295616885	17.629567788537486	33.32753608828792	9.930942165337198
2013.1483638405562	18.55387854637834	17.37763349542536	33.590805695490715	9.70786135881603
2013.0627051622541	20.223690981733082	18.915319277446667	38.15831664255943	10.777767674861705
2012.977046483952	25.297989581271676	23.465546233799476	49.206731138079704	13.453671251320944
2012.89138780565	43.5850608107737	40.300465598565765	82.76678606844494	25.01657325907213
2012.805729127348	68.12586161403428	63.15891451830622	128.4760171628962	38.92352061565679
2012.720070449046	88.10981819882129	81.2977022234333	169.49227055562534	49.00511553466077
2012.634411770744	93.75464585179786	85.70522661917319	188.24730361642173	50.48049951702747
2012.548753092442	86.18151908955384	77.53699819942038	187.47178846090384	44.43262693968663
2012.46309441414	74.68382939945639	66.5336474078492	173.818409758041	36.706642969248655
2012.377435735838	63.67606453837136	55.59722147325969	157.95856918466126	29.368432791201304
2012.291777057536	54.15390530779601	46.709137811384934	146.03785019981925	24.187271760722215
2012.2061183792339	48.484326551134345	40.945092780506464	129.99359710273563	20.344142090746825
2012.1204597009319	46.608996573885776	39.37617388822745	127.2531804110603	19.682768026031017
2012.0348010226298	45.92384792013966	38.53826712138176	127.44999495611667	19.180743369108413
2011.9491423443278	44.385411441407065	37.150823342968906	122.1183319789948	18.5582935944821
2011.8634836660258	41.745564478176355	34.85619636713852	113.50586860304928	17.296609995076704
2011.7778249877238	40.6777104943458	33.91306634402069	114.30343354832257	16.524785527122113
2011.6921663094217	38.627397740644476	32.00825959514015	109.38697192600031	15.102357343155749
2011.6065076311197	34.27645957738527	27.901053618539652	96.80604707230744	12.751383880431032
2011.5208489528177	29.543441252867293	23.62842587228618	84.81151883818843	10.37574674784594
2011.4351902745157	24.419004882238482	19.21338446823229	76.00081109200411	8.008937774256266
2011.3495315962136	19.92583411609778	15.005635740583873	66.32108117545262	6.299754618317009
2011.2638729179116	16.03394875437944	11.397925815848383	58.97707269827529	4.501393510091102
2011.1782142396096	12.619599931566075	8.478981072722986	51.806058177306724	3.0627798688484815
2011.0925555613076	9.648505990124818	5.99348756393196	41.970753435677516	1.9402809738074465
2011.0068968830055	7.402149390868699	4.14240184183937	37.541080206230674	1.2711053534905885
2010.9212382047035	5.653741373734866	2.7775017310384085	29.53087613967275	0.7797277266387527
2010.8355795264015	4.359317543106628	1.8181286404855017	26.4294157471585	0.4536033458081835
2010.7499208480995	3.3096584429058944	1.1057821935117342	20.587573468354936	0.2540359775672421
