,HHS_region,mean_tmp
428,region9,1.4
429,region9,3.194
430,region9,1.219
431,region9,0.608
432,region9,0.5720000000000001
433,region9,6.657
434,region9,10.856
435,region9,3.509
436,region9,5.627999999999999
437,region9,2.081
438,region3,6.056
439,region3,4.203
440,region3,2.0340000000000003
441,region3,1.67
442,region3,5.046
443,region3,3.7680000000000002
444,region3,3.127
445,region3,0.871
446,region3,2.602
447,region3,3.1039999999999996
448,region3,3.697
449,region3,1.798
450,region3,2.53
451,region3,3.2769999999999997
452,region3,4.0889999999999995
453,region3,2.469
454,region3,4.462
455,region3,3.1039999999999996
456,region3,3.74
457,region3,1.6469999999999998
458,region3,2.688
459,region3,2.463
460,region3,2.045
461,region3,2.674
462,region3,3.167
463,region3,2.951
464,region3,3.492
465,region3,4.97
466,region3,4.796
467,region3,2.577
468,region3,6.915
469,region3,6.926
470,region3,3.3689999999999998
471,region3,0.49
472,region3,3.66
473,region3,2.053
474,region3,3.363
475,region3,2.7260000000000004
476,region3,3.807
477,region3,6.702000000000001
478,region3,3.443
479,region3,2.2680000000000002
480,region3,3.662
481,region3,4.681
482,region3,1.724
483,region3,3.645
484,region3,4.266
485,region3,3.353
486,region3,4.7330000000000005
487,region3,2.394
488,region3,7.392
489,region3,5.2410000000000005
490,region3,3.6660000000000004
491,region3,2.793
492,region3,2.714
493,region3,1.6059999999999999
494,region3,2.71
495,region3,4.088
496,region3,3.3689999999999998
497,region3,3.6310000000000002
498,region3,1.632
499,region3,1.9769999999999999
500,region3,3.17
501,region3,2.865
502,region3,1.936
503,region3,3.085
504,region3,2.889
505,region3,4.777
506,region3,2.9530000000000003
507,region3,3.42
508,region3,3.4
509,region3,3.1830000000000003
510,region3,3.133
511,region6,4.446000000000001
512,region6,8.618
513,region6,7.114
514,region6,8.116
515,region6,3.799
516,region6,3.528
517,region6,4.112
518,region6,4.575
519,region6,3.1489999999999996
520,region6,5.537999999999999
521,region6,4.095
522,region6,2.115
523,region6,4.332
524,region6,5.46
525,region6,5.602
526,region6,2.381
527,region6,3.8360000000000003
528,region6,3.1
529,region6,5.857
530,region6,1.709
531,region6,7.442
532,region6,1.22
533,region6,1.785
534,region6,1.463
535,region6,7.95
536,region6,6.193
537,region6,12.019
538,region6,4.476
539,region6,3.365
540,region6,4.59
541,region6,5.88
542,region6,11.899000000000001
543,region6,4.606
544,region6,1.876
545,region6,4.26
546,region6,2.655
547,region6,3.2039999999999997
548,region6,3.452
549,region6,0.9570000000000001
550,region6,3.498
551,region6,2.907
552,region6,8.552
553,region6,11.729000000000001
554,region6,7.352
555,region6,5.401
556,region6,5.064
557,region6,6.305
558,region6,6.74
559,region6,3.3569999999999998
560,region6,5.472
561,region6,9.305
562,region6,12.929
563,region6,1.84
564,region6,6.445
565,region6,4.191
566,region6,1.0190000000000001
567,region6,4.978
568,region6,3.977
569,region6,5.352
570,region6,7.074
571,region6,2.9360000000000004
572,region6,2.351
573,region6,4.107
574,region6,5.409
575,region6,4.522
576,region6,8.76
577,region6,1.621
578,region6,6.6979999999999995
579,region6,3.8080000000000003
580,region6,5.562
581,region6,3.3689999999999998
582,region6,6.96
583,region6,8.641
584,region9,0.311
585,region9,1.815
586,region9,1.2790000000000001
587,region9,1.157
588,region9,1.919
589,region9,0.7809999999999999
590,region9,1.1420000000000001
591,region9,1.204
592,region9,2.074
593,region9,1.1320000000000001
594,region9,0.8290000000000001
595,region9,0.701
596,region9,0.99
597,region9,0.33299999999999996
598,region9,0.743
599,region9,0.96
600,region9,0.883
601,region9,0.867
602,region9,0.27699999999999997
603,region9,1.43
604,region9,0.531
605,region9,2.6180000000000003
606,region9,1.403
607,region9,0.7240000000000001
608,region9,0.46
609,region9,1.382
610,region9,1.198
611,region9,0.857
612,region9,0.34700000000000003
613,region9,0.6579999999999999
614,region9,1.71
615,region9,1.6569999999999998
616,region9,2.8080000000000003
617,region9,0.792
618,region9,1.1520000000000001
619,region9,1.579
620,region9,0.37
621,region9,0.617
622,region9,0.606
623,region9,0.9209999999999999
624,region9,1.472
625,region9,0.627
626,region9,1.0590000000000002
627,region9,0.47200000000000003
628,region9,0.615
629,region9,2.479
630,region9,0.424
631,region9,2.535
632,region9,1.911
633,region9,2.182
634,region9,1.392
635,region9,1.33
636,region9,1.4869999999999999
637,region9,1.1340000000000001
638,region9,0.7190000000000001
639,region9,0.563
640,region9,0.569
641,region9,2.228
642,region9,1.517
643,region9,0.335
644,region9,1.494
645,region9,0.904
646,region9,1.526
647,region9,0.305
648,region9,1.0
649,region9,0.713
650,region9,0.537
651,region9,0.519
652,region9,1.746
653,region9,2.923
654,region9,1.025
655,region9,1.3769999999999998
656,region9,0.785
657,region10,7.305
658,region10,1.931
659,region10,10.038
660,region10,11.85
661,region10,7.412999999999999
662,region10,20.581
663,region10,14.357999999999999
664,region10,4.494
665,region10,11.654000000000002
666,region10,4.629
667,region10,10.269
668,region10,11.679
669,region10,7.152
670,region10,11.043
671,region10,5.1160000000000005
672,region10,3.0180000000000002
673,region10,14.529000000000002
674,region10,11.752
675,region10,9.895
676,region10,14.200999999999999
677,region10,10.884
678,region10,10.007
679,region10,11.83
680,region10,13.847999999999999
681,region10,11.623
682,region10,7.412000000000001
683,region10,14.647
684,region10,11.227
685,region10,10.439
686,region10,3.261
687,region10,6.636
688,region10,2.991
689,region10,6.763
690,region10,2.9930000000000003
691,region10,11.599
692,region10,11.458
693,region10,9.198
694,region10,0.929
695,region10,10.655
696,region10,8.296
697,region10,6.1
698,region10,8.089
699,region10,13.508
700,region10,7.131
701,region10,11.322000000000001
702,region10,5.81
703,region10,5.841
704,region10,8.252
705,region10,9.979
706,region10,11.292
707,region10,12.015
708,region10,11.767999999999999
709,region10,8.491
710,region10,4.819
711,region10,11.325
712,region10,11.321
713,region10,8.88
714,region10,7.2139999999999995
715,region10,17.028
716,region10,8.392999999999999
