HHS_region,season,mean_tmp
region10,2016,40.64911111111111
region10,2017,40.454
region10,2018,34.35444444444445
region10,2019,37.86955555555556
region10,2020,36.00966666666667
region10,2021,37.85366666666667
region10,1948,40.523833333333336
region10,1949,43.506499999999996
region10,1950,44.82608333333334
region10,1951,41.70583333333334
region10,1952,43.86958333333334
region10,1953,45.51991666666667
region10,1954,43.40533333333334
region10,1955,41.63125
region10,1956,42.24075
region10,1957,43.70250000000001
region10,1958,44.7725
region10,1959,42.282833333333336
region10,1960,43.24316666666667
region10,1961,40.862
region10,1962,44.98325
region10,1963,45.11358333333334
region10,1964,42.06283333333334
region10,1965,43.7355
region10,1966,44.79175
region10,1967,44.28008333333333
region10,1968,42.250416666666666
region10,1969,43.34966666666667
region10,1970,41.15683333333333
region10,1971,40.615833333333335
region10,1972,40.76016666666667
region10,1973,43.480916666666666
region10,1974,44.675000000000004
region10,1975,43.37983333333333
region10,1976,44.27441666666667
region10,1977,42.87733333333333
region10,1978,40.68508333333333
region10,1979,44.86083333333334
region10,1980,44.699083333333334
region10,1981,44.0425
region10,1982,41.7535
region10,1983,41.699666666666666
region10,1984,40.32608333333334
region10,1985,37.449666666666666
region10,1986,42.84008333333333
region10,1987,45.09491666666667
region10,1988,44.498916666666666
region10,1989,44.48158333333333
region10,1990,42.29408333333333
region10,1991,44.69649999999999
region10,1992,42.37258333333333
region10,1993,43.11683333333334
region10,1994,42.30041666666667
region10,1995,45.08541666666667
region10,1996,42.654833333333336
region10,1997,44.214
region10,1998,44.11625
region10,1999,45.2175
region10,2000,42.002500000000005
region10,2001,44.33658333333333
region10,2002,44.33675
region10,2003,44.482
region10,2004,44.08025
region10,2005,42.87799999999999
region10,2006,43.51500000000001
region10,2007,42.46216666666667
region10,2008,43.798833333333334
region10,2009,42.51283333333333
region10,2010,43.82058333333333
region10,2011,44.067
region10,2012,44.74025
region10,2013,42.748583333333336
region10,2014,45.98016666666667
region10,2015,44.38458333333333
region10,2016,43.39766666666667
region10,2017,43.77633333333333
region10,2018,43.78666666666667
region10,2019,42.904583333333335
region10,2020,45.412083333333335
region2,1949,29.427000000000003
region2,1950,36.78416666666667
region2,1951,33.99283333333333
region2,1952,34.62016666666667
region2,1953,35.6715
region2,1954,35.987833333333334
region2,1955,34.715666666666664
region2,1956,32.961999999999996
region2,1957,32.402
region2,1958,33.02666666666667
region2,1959,31.015833333333333
region2,1960,31.81833333333333
region2,1961,35.098
region2,1962,29.858999999999998
region2,1963,31.36566666666667
region2,1964,29.41616666666667
region2,1965,32.195166666666665
region2,1966,30.063666666666666
region2,1967,30.54733333333333
region2,1968,32.481833333333334
region2,1969,30.164
region2,1970,32.6225
region2,1971,29.310000000000002
region2,1972,30.086333333333332
region2,1973,30.86366666666667
region2,1974,33.51716666666667
region2,1975,33.60883333333333
region2,1976,33.021166666666666
region2,1977,33.752833333333335
region2,1978,30.16016666666667
region2,1979,27.9305
region2,1980,28.909166666666664
region2,1981,32.267
region2,1982,33.22683333333334
region2,1983,29.323666666666668
region2,1984,33.694833333333335
region2,1985,33.647
region2,1986,32.44716666666667
region2,1987,32.98583333333333
region2,1988,32.48233333333334
region2,1989,31.64633333333333
region2,1990,33.646166666666666
region2,1991,38.021
region2,1992,36.13816666666667
region2,1993,33.6445
region2,1994,32.62833333333334
region2,1995,29.53316666666667
region2,1996,33.282333333333334
region2,1997,32.33533333333333
region2,1998,34.119499999999995
region2,1999,38.81766666666667
region2,2000,35.131
region2,2001,33.71883333333333
region2,2002,34.3905
region2,2003,38.825833333333335
region2,2004,29.434166666666666
region2,2005,31.27
region2,2006,34.188833333333335
region2,2007,37.681333333333335
region2,2008,32.48116666666667
region2,2009,36.67016666666667
region2,2010,33.3265
region2,2011,35.597833333333334
region2,2012,33.582166666666666
region2,2013,37.76266666666667
region2,2014,34.78133333333333
region2,2015,30.989166666666666
region2,2016,28.457166666666666
region2,2017,34.945
region2,2018,39.887499999999996
region2,2019,33.889
region2,2020,34.79983333333333
region2,2021,36.7125
region2,1948,47.168125
region2,1949,46.281375
region2,1950,45.1635
region2,1951,45.204125
region2,1952,45.762750000000004
region2,1953,47.8515
region2,1954,45.98475
region2,1955,43.833625000000005
region2,1956,46.37025
