HHS_region,season,mean_temp
region2,1988.0,39.275571428571425
region2,1989.0,37.94321428571429
region2,1990.0,42.083000000000006
region2,1991.0,42.95692857142858
region2,1992.0,41.21928571428572
region2,1993.0,40.100928571428575
region2,1994.0,41.249928571428576
region2,1995.0,38.093714285714285
region2,1996.0,40.78214285714286
region2,1997.0,39.830499999999994
region2,1998.0,42.435
region2,1999.0,44.22835714285714
region2,2000.0,40.352357142857144
region2,2001.0,42.74314285714286
region2,2002.0,41.06185714285714
region2,2003.0,43.670785714285714
region2,2004.0,39.5675
region2,2005.0,40.836999999999996
region2,2006.0,42.57828571428571
region2,2007.0,43.794357142857145
region2,2008.0,40.464642857142856
region2,2009.0,42.3585
region2,2010.0,40.86714285714286
region2,2011.0,43.94307142857143
region2,2012.0,41.80135714285715
region2,2013.0,42.54371428571428
region2,2014.0,42.178000000000004
region2,2015.0,43.09178571428571
region2,2016.0,40.101214285714285
region2,2017.0,42.28407142857143
region2,2018.0,44.20092857142857
region2,2019.0,41.343714285714285
region2,2020.0,42.7845
region2,2021.0,36.7125
region3,1948.0,51.0163
region3,1949.0,45.22568571428572
region3,1950.0,46.75585714285714
region3,1951.0,46.8426
region3,1952.0,45.724428571428575
region3,1953.0,47.47542857142857
region3,1954.0,47.16694285714286
region3,1955.0,46.171685714285715
region3,1956.0,46.845085714285716
region3,1957.0,45.815171428571425
region3,1958.0,45.19642857142857
region3,1959.0,45.178371428571424
region3,1960.0,44.90065714285714
region3,1961.0,47.31402857142857
region3,1962.0,42.94282857142857
region3,1963.0,44.24122857142857
region3,1964.0,44.15285714285714
region3,1965.0,45.45371428571429
region3,1966.0,44.14971428571429
region3,1967.0,43.05642857142857
region3,1968.0,45.72057142857143
region3,1969.0,43.09997142857143
region3,1970.0,46.40571428571429
region3,1971.0,46.48448571428572
region3,1972.0,44.699714285714286
region3,1973.0,46.47922857142857
region3,1974.0,45.182428571428574
region3,1975.0,47.615257142857146
region3,1976.0,43.239428571428576
region3,1977.0,46.657085714285714
region3,1978.0,44.638714285714286
region3,1979.0,43.997342857142854
region3,1980.0,43.27811428571428
region3,1981.0,43.94251428571429
region3,1982.0,46.704342857142855
region3,1983.0,44.28131428571429
region3,1984.0,46.69594285714285
region3,1985.0,46.58925714285714
region3,1986.0,45.9004
region3,1987.0,45.903200000000005
region3,1988.0,44.0966
region3,1989.0,43.44548571428572
region3,1990.0,47.71454285714286
region3,1991.0,48.576457142857144
region3,1992.0,46.79837142857143
region3,1993.0,46.24645714285714
region3,1994.0,46.784885714285714
region3,1995.0,44.53805714285715
region3,1996.0,45.8098
region3,1997.0,45.29508571428571
region3,1998.0,47.8024
region3,1999.0,48.98068571428572
region3,2000.0,45.69851428571429
region3,2001.0,47.812714285714286
region3,2002.0,46.73177142857143
region3,2003.0,48.55348571428571
region3,2004.0,45.69885714285714
region3,2005.0,46.31671428571428
region3,2006.0,47.54868571428571
region3,2007.0,49.435657142857146
region3,2008.0,45.749542857142856
region3,2009.0,47.21031428571428
region3,2010.0,45.75757142857143
region3,2011.0,47.446799999999996
region3,2012.0,47.076742857142854
region3,2013.0,47.7978
region3,2014.0,47.13582857142857
region3,2015.0,48.03094285714286
region3,2016.0,46.16274285714286
region3,2017.0,46.969657142857145
region3,2018.0,50.305485714285716
region3,2019.0,47.59182857142857
region3,2020.0,48.741485714285716
region3,2021.0,43.3144
region4,1948.0,57.33578125
region4,1949.0,53.55330357142857
region4,1950.0,53.80567857142857
region4,1951.0,55.19442857142857
region4,1952.0,52.29042857142857
region4,1953.0,54.42046428571428
region4,1954.0,54.05955357142857
region4,1955.0,54.61651785714286
region4,1956.0,54.67303571428572
